gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
MIMAT0006614	9375.725	-0.3242256	0.18722012	0.05200271	0.1776825
MIMAT0006615	6962.16	-0.4412811	0.25342889	0.03021751	0.1341233
MIMAT0006616	11346.82	0.1419358	0.15886511	0.3327821	0.5766704
MIMAT0006617	39.85358	0.1746878	0.15709071	0.2288325	0.4736706
MIMAT0006618	3.555114	0.2605434	0.30339161	0.2268137	0.4736706
MIMAT0006619	11623.32	0.06790136	0.33969255	0.7466668	0.8547815
MIMAT0006620	10.82304	-0.3779161	0.29006583	0.07884568	0.231953
MIMAT0006621	3.252679	-0.3565117	0.33465996	0.1022321	0.2873857
MIMAT0006622	11.69057	0.5062487	0.22933625	0.008485619	0.06133891
MIMAT0006623	177.9538	-0.2383693	0.22370879	0.2071937	0.447918
MIMAT0006624	28.79859	-0.3915707	0.20326104	0.0271345	0.1248187
MIMAT0006625	122.2744	0.3081461	0.17952268	0.05650376	0.1856552
MIMAT0006626	2001.342	0.009478553	0.13944372	0.9423919	0.9771522
MIMAT0006627	844.1224	-0.02720413	0.10150439	0.7820307	0.8768743
MIMAT0010196	1.659798	-0.107998	0.40002687	0.5291466	0.7275766
MIMAT0006628	3.944839	0.03160409	0.32257854	0.8820834	0.9433565
MIMAT0006629	1.529981	-0.1901763	0.36875081	0.3455657	0.5947491
MIMAT0011132	158856.1	0.3498569	0.15688814	0.01572191	0.08295827
MIMAT0032036	159848.3	0.3492587	0.15659725	0.01573912	0.08295827
MIMAT0006630	0.08046057	-0.01170928	0.44396426	0.8526048	NA
MIMAT0006631	199.0824	-0.6818835	0.19877046	9.347233e-05	0.002149864
MIMAT0006632	73.33882	-0.3493206	0.22585343	0.06629353	0.2096533
MIMAT0006633	858.318	0.5411285	0.1564672	0.0001772162	0.003736309
MIMAT0006634	522.9512	0.4360451	0.17784908	0.006515137	0.05494432
MIMAT0006635	15.18794	-0.2533326	0.25867669	0.2160471	0.4593271
MIMAT0006636	104.1691	-0.6450036	0.21185074	0.0004146199	0.007492774
MIMAT0006637	122270.8	0.2608033	0.13569749	0.04154522	0.1592567
MIMAT0006638	49695.52	0.1435488	0.14123884	0.279	0.518762
MIMAT0006639	425.5459	0.5350984	0.26467277	0.01038748	0.06508942
MIMAT0006640	67.88451	-0.1145737	0.20039873	0.5139245	0.7105077
MIMAT0006641	73.94247	-0.2080124	0.1817513	0.202486	0.4456255
MIMAT0006642	233.3957	-0.396067	0.23613223	0.04282125	0.1616982
MIMAT0006643	0.8462478	0.1697493	0.41668492	0.2696718	0.5091565
MIMAT0006644	79.5449	-0.4608952	0.18390311	0.005077333	0.04587733
MIMAT0006645	7.815514	0.1446466	0.30590151	0.4997158	0.7105077
MIMAT0006646	4.968247	0.03363548	0.26378841	0.870244	0.9409048
MIMAT0006647	1243.342	0.4337326	0.15181891	0.002068062	0.02442038
MIMAT0006648	333428.7	0.2434581	0.12859196	0.04602759	0.1663568
MIMAT0006649	85.95839	0.2016307	0.22289307	0.2848499	0.518762
MIMAT0006650	7.430094	0.447138	0.28774685	0.03790807	0.1514812
MIMAT0006651	3195.515	0.2991261	0.12271206	0.01054809	0.06508942
MIMAT0006652	5.63086	0.647462	0.32581591	0.004317645	0.04045793
MIMAT0006653	2077.806	0.4914058	0.18089899	0.002474982	0.02609044
MIMAT0006654	7.938857	-0.5143783	0.2553858	0.01204522	0.06944461
MIMAT0006655	453.8772	0.1426379	0.15604546	0.3231737	0.5677981
MIMAT0006656	75.02563	1.017508	0.30230837	9.098395e-06	0.0004603788
MIMAT0006657	1.237189	0.221321	0.40563975	0.2031358	0.4456255
MIMAT0006658	5768.051	-0.6712492	0.17336564	1.900935e-05	0.0006870522
MIMAT0006659	336.1501	-0.3026308	0.16524547	0.04539814	0.1663568
MIMAT0006660	1572.03	-0.08943429	0.1404018	0.4978649	0.7105077
MIMAT0006661	726.2031	0.19396	0.15901926	0.1859181	0.4355303
MIMAT0006662	7.28064	0.1782146	0.36857301	0.3757535	0.6153117
MIMAT0006663	5.235072	0.08641438	0.27018491	0.6776755	0.820344
MIMAT0006664	72.9747	-0.497094	0.18108	0.002220034	0.02442038
MIMAT0006665	206.8832	-0.05479134	0.12072015	0.6348119	0.7990419
MIMAT0006666	1793.009	-0.1979055	0.1661132	0.1928656	0.4359916
MIMAT0006667	0.4059625	-0.04422811	0.42904157	0.7079451	0.8330703
MIMAT0006668	124.1849	0.6575659	0.24515408	0.001072943	0.01596792
MIMAT0006669	2432.768	0.3288362	0.15425647	0.02132153	0.09994099
MIMAT0006670	174.2065	0.9810844	0.23554275	7.783596e-07	8.285517e-05
MIMAT0006671	660.9562	0.01780807	0.17100183	0.9089146	0.9593082
MIMAT0006672	1.491976	0.08169176	0.36610054	0.6822491	0.8214837
MIMAT0006673	38.26996	-0.4594618	0.22129555	0.01446035	0.07953193
MIMAT0006674	2.780205	0.2779515	0.38702855	0.1553175	0.3791162
MIMAT0006675	896.7019	-0.3871818	0.24212025	0.05097366	0.1776825
MIMAT0006676	4204.391	0.4146328	0.16272454	0.005460896	0.04764161
MIMAT0006677	39.65743	0.2670419	0.14748636	0.05221767	0.1776825
MIMAT0006678	25913.55	-0.04450607	0.15955951	0.7622499	0.8647948
MIMAT0006679	4.034173	0.1413813	0.2909167	0.5062656	0.7105077
MIMAT0006680	6.427659	0.01397001	0.29785373	0.9477214	0.9786674
MIMAT0006681	50.37345	-0.2166584	0.22312878	0.2508091	0.4924067
MIMAT0006682	6075.501	1.238189	0.37089904	8.65508e-07	8.285517e-05
MIMAT0006683	159.3632	0.2065357	0.21234948	0.2582354	0.4949513
MIMAT0006684	19.12076	-0.2362445	0.24152324	0.2321547	0.4736706
MIMAT0006685	4.700983	0.4816449	0.31016522	0.02896989	0.1308818
MIMAT0006686	9.908304	-0.004086536	0.23733872	0.9833316	0.9911669
MIMAT0006687	2550.465	-0.005425913	0.15777114	0.9703029	0.989182
MIMAT0006688	1.454678	-0.0837936	0.36527572	0.6753228	0.820344
MIMAT0006689	105.0879	0.2670474	0.15268577	0.05942639	0.1927548
MIMAT0006690	111.3558	-0.09111964	0.20064615	0.6040046	0.7796589
MIMAT0006691	14.32348	-0.122269	0.24121477	0.5356692	0.7325639
MIMAT0006692	67.26792	0.1393751	0.15372251	0.328283	0.5727972
MIMAT0006693	0.4261645	-0.05833888	0.41931958	0.6770002	0.820344
MIMAT0006694	96.84939	0.3079228	0.15769294	0.03433686	0.1445871
MIMAT0006695	165.8768	0.06646735	0.13713602	0.6070963	0.7796719
MIMAT0006696	55941.59	0.4023827	0.13975059	0.002157592	0.02442038
MIMAT0006697	1884.643	0.572014	0.14460471	2.245392e-05	0.0007101052
MIMAT0006698	231.4705	0.0125729	0.18328831	0.9390181	0.9771522
MIMAT0006699	51.53854	-0.186712	0.31689047	0.3851739	0.6206942
MIMAT0006700	99.07299	0.2897293	0.23041633	0.1323127	0.3451043
MIMAT0011134	345.3302	0.8532344	0.19755699	9.824723e-07	8.285517e-05
MIMAT0006701	27.62084	-0.02357708	0.17872244	0.8836976	0.9433565
MIMAT0006702	1.314916	-0.2516329	0.38100454	0.203178	0.4456255
MIMAT0006703	69.67287	-0.6086369	0.35872905	0.007233452	0.05798971
MIMAT0006704	7.692568	0.2931691	0.25830859	0.1523289	0.3778355
MIMAT0006705	647.4691	-0.05642427	0.14933645	0.6851109	0.8214837
MIMAT0006706	1.417282	-0.06714132	0.35806202	0.7414465	0.8526635
MIMAT0006707	206.4465	-0.2153439	0.16374325	0.151652	0.3778355
MIMAT0006708	23.80592	-0.5937755	0.26068546	0.00424664	0.04045793
MIMAT0006709	3.904393	-0.1550996	0.3034909	0.4691497	0.6982051
MIMAT0006710	19.51318	-0.1423333	0.20055257	0.4176662	0.6563326
MIMAT0006713	5.074329	-0.1028315	0.35464586	0.6170383	0.7884378
MIMAT0006715	0.7454054	-0.07978518	0.41840825	0.5766915	0.7601681
MIMAT0006716	3.534695	0.1571242	0.36130099	0.4414383	0.6695402
MIMAT0006717	0.2915587	-0.04409781	0.44187013	0.5596011	NA
MIMAT0006718	1.054484	-0.1444432	0.41061623	0.3677161	0.6153117
MIMAT0006719	0.08768045	-0.02172767	0.44403944	0.7303272	NA
MIMAT0006720	0.2218321	-0.004712043	0.44236312	0.9472365	NA
MIMAT0006722	8.38497	-0.2299603	0.32901652	0.2850116	0.518762
MIMAT0006723	0.4001334	-0.001070353	0.43192278	0.9921776	0.9926899
MIMAT0006725	5.683036	-0.3009075	0.34585252	0.1609147	0.3877279
MIMAT0006726	0.3054856	-0.03876078	0.43987426	0.6431083	NA
MIMAT0006727	0.2038253	-0.02371346	0.43624759	0.8052708	NA
MIMAT0006730	6860.181	-0.1993119	0.21128195	0.273634	0.5128103
MIMAT0006731	0.02342309	-0.01673564	0.4439972	0.7905876	NA
MIMAT0006732	2.392837	0.1394211	0.36605086	0.488174	0.7105077
MIMAT0006733	175.7065	-0.2920734	0.22605559	0.1247596	0.3290281
MIMAT0006734	3220.613	0.4827527	0.22945204	0.01207732	0.06944461
MIMAT0006735	1650.493	-0.5828634	0.24510466	0.003664654	0.0370863
MIMAT0006736	6742.96	0.2905576	0.11376789	0.007792727	0.05974424
MIMAT0006737	810.7297	0.5218351	0.24003191	0.008352274	0.06133891
MIMAT0006738	0.6441073	0.1686449	0.42267946	0.2403535	0.4826146
MIMAT0006739	3.802422	-0.2590335	0.32087325	0.2309901	0.4736706
MIMAT0006740	5.250689	-0.4590694	0.33163233	0.03831935	0.1514812
MIMAT0006741	398.8125	0.02781475	0.16426331	0.8535428	0.9301147
MIMAT0006742	37385.19	-0.3383504	0.15795654	0.02020702	0.09836121
MIMAT0006743	1505.782	0.1036622	0.17485934	0.5128805	0.7105077
MIMAT0006744	15.51767	-0.5624215	0.28638238	0.009409802	0.06264947
MIMAT0006745	29.9168	-0.2576828	0.24089219	0.1919458	0.4359916
MIMAT0006746	51.18155	-0.2981084	0.22296663	0.1140153	0.313542
MIMAT0006747	4.60233	0.1029901	0.31072654	0.6304455	0.7990419
MIMAT0006748	2.340991	0.1137754	0.35597417	0.5794712	0.7601681
MIMAT0006749	0.06296464	-0.007568998	0.44394744	0.9043898	NA
MIMAT0006750	3.56687	-0.461633	0.34426046	0.03693415	0.1507152
MIMAT0006751	821.6589	-0.05527279	0.0856853	0.5093952	0.7105077
MIMAT0006752	0.09118537	-0.001691666	0.4439349	0.9785823	NA
MIMAT0006753	13.05954	0.4752105	0.22384602	0.01206368	0.06944461
MIMAT0006754	20.06079	0.3348498	0.21965602	0.07311391	0.2228653
MIMAT0006755	139.6472	0.2419384	0.13855715	0.06342907	0.2031336
MIMAT0006756	5875.418	0.2164471	0.15182128	0.1248486	0.3290281
MIMAT0006757	36.34209	-0.1636212	0.20772046	0.3632779	0.6127287
MIMAT0006758	540.6899	-0.2998708	0.19833376	0.08510144	0.2474789
MIMAT0006759	1.651603	0.1812169	0.36097973	0.3769696	0.6153117
MIMAT0006760	333.3303	-0.374451	0.20366193	0.03486093	0.1445871
MIMAT0006761	7.934816	-0.001870244	0.25846441	0.9926899	0.9926899
MIMAT0006762	0.0804513	-0.003693459	0.44393751	0.9532587	NA
MIMAT0006763	12.81318	0.3659467	0.28927866	0.08830858	0.2538872
MIMAT0009830	71.83206	0.1195323	0.14953574	0.390793	0.6257634
MIMAT0009831	17.92688	0.1247508	0.21987914	0.5044371	0.7105077
MIMAT0009832	250.8642	0.1978985	0.14159532	0.1363481	0.3520006
MIMAT0009833	0.7141829	0.1978342	0.41746491	0.2043184	0.4456255
MIMAT0009834	1.643926	0.5050627	0.4245982	0.008840022	0.06212571
MIMAT0009835	0.9182413	0.1144848	0.40158323	0.5009376	0.7105077
MIMAT0009836	36098.01	0.303679	0.1728633	0.052838	0.1776825
MIMAT0009837	0.3884638	0.1091509	0.4222592	0.4285887	0.6652328
MIMAT0009840	0.1290808	0.002312731	0.44393517	0.970723	NA
MIMAT0009841	5.763802	-0.3852738	0.29236359	0.07399493	0.2228657
MIMAT0009842	352.8819	-0.4451375	0.32211138	0.04389654	0.1633209
MIMAT0009843	10.23035	-0.5193696	0.3413481	0.02021653	0.09836121
MIMAT0009845	28.89883	-0.5991441	0.31206756	0.007334667	0.05798971
MIMAT0009846	79.84794	-0.4948506	0.22599513	0.009392507	0.06264947
MIMAT0009847	8.336631	-0.2521365	0.32657353	0.2427132	0.4835152
MIMAT0009848	0.2787045	-0.06693071	0.44264731	0.3701809	NA
MIMAT0009849	0.08335324	-0.01124208	0.44396197	0.8584202	NA
MIMAT0009850	3.884695	0.1861733	0.36817736	0.3561334	0.6047098
MIMAT0009851	2.743104	0.004540163	0.33779967	0.9827794	0.9911669
MIMAT0009852	386.8136	-0.08161651	0.20885983	0.6514265	0.8084081
MIMAT0009853	23.44653	-0.0687058	0.19543619	0.6902439	0.8226169
MIMAT0009854	0.4180087	-0.1277243	0.43439027	0.2554515	0.493353
MIMAT0009860	2.456002	-0.06345781	0.38014279	0.7377978	0.8526635
MIMAT0009861	0.2936166	-0.06981169	0.43340392	0.5181294	NA
MIMAT0009862	0.7453444	0.08135167	0.39672841	0.6405343	0.8022534
MIMAT0009863	73.73829	0.9183239	0.32159081	8.067658e-05	0.002041118
MIMAT0009864	2.233194	-0.4814022	0.39412811	0.02133128	0.09994099
MIMAT0009865	2.899425	-0.2706552	0.36358067	0.1930081	0.4359916
MIMAT0009866	11.03382	-0.7084163	0.36667425	0.002153242	0.02442038
MIMAT0009868	0.999368	0.1300012	0.40530628	0.4347344	0.6665927
MIMAT0009869	3.612335	0.5505052	0.4488487	0.002141675	0.02442038
MIMAT0009870	2815.75	0.6751826	0.18170522	3.419216e-05	0.0009611795
MIMAT0009871	649.413	-0.4290353	0.27041171	0.04106689	0.1592567
MIMAT0009872	0.1516271	0.003456995	0.44193892	0.9623427	NA
MIMAT0009873	1.117387	0.1417387	0.40591551	0.3945865	0.627864
MIMAT0009874	10.19758	-0.02281834	0.2906265	0.9143642	0.9598927
MIMAT0009875	0.1747017	-0.02407109	0.44406214	0.7026136	NA
MIMAT0009867	0.3088756	-0.03475353	0.42929591	0.7664245	NA
MIMAT0009876	0.1277537	-0.001691666	0.4439349	0.9785823	NA
MIMAT0009878	24.29109	0.04634135	0.25153492	0.8182032	0.9039537
MIMAT0009880	1.341367	-0.05386292	0.39960501	0.7512931	0.8562034
MIMAT0009883	0.4011939	-0.1124378	0.42773937	0.3749579	0.6153117
MIMAT0009884	7.2096	-0.007028786	0.28898231	0.9735428	0.989182
MIMAT0009885	0.7637206	-0.1141448	0.42588497	0.3834895	0.6206942
MIMAT0009886	30.52533	0.01681163	0.31871607	0.937198	0.9771522
MIMAT0009887	2.08376	-0.2099388	0.40104224	0.2377796	0.4812658
MIMAT0009889	0.3499817	-0.119433	0.43680974	0.2514282	0.4924067
MIMAT0009891	19.56294	-0.2823632	0.32609879	0.1923524	0.4359916
MIMAT0009892	223.6826	0.07796174	0.15148465	0.5798911	0.7601681
MIMAT0009893	1.026957	-0.3515814	0.41258822	0.05337499	0.1776825
MIMAT0009894	2.382536	-0.1266273	0.33540025	0.5502942	0.7418303
MIMAT0009895	15.96073	0.3572387	0.3193068	0.1020779	0.2873857
MIMAT0009896	448.4029	0.07071003	0.1746321	0.6550343	0.8084081
MIMAT0009897	0.1986242	-0.001941863	0.44260966	0.9778601	NA
MIMAT0009900	0.3695378	-0.02185441	0.43298487	0.8372694	0.9170094
MIMAT0009901	0.6811302	-0.1356689	0.43238709	0.2530153	0.4924067
MIMAT0009904	9.570957	-0.06206136	0.33070563	0.7698293	0.8694947
MIMAT0009905	1.116327	-0.1271474	0.40122272	0.457921	0.6855266
MIMAT0009907	0.07149719	-0.009560476	0.44395535	0.879406	NA
MIMAT0009908	859.26	0.2219343	0.15258679	0.1171117	0.3185941
MIMAT0009911	0.06471976	-0.003693459	0.44393751	0.9532587	NA
MIMAT0009912	0.07541446	0.0008262836	0.44393421	0.9895379	NA
MIMAT0009913	0.1248536	-0.02601149	0.44408425	0.6799305	NA
MIMAT0009918	7.853922	0.5773339	0.31631207	0.009845719	0.06387094
MIMAT0009919	0.3133398	-0.05854708	0.43555013	0.5604771	NA
MIMAT0009920	0.3043327	-0.02819785	0.4375532	0.7588052	NA
MIMAT0009921	6.384131	-0.1919759	0.26930835	0.3561164	0.6047098
MIMAT0009926	11.58514	-0.1953357	0.23087762	0.3105636	0.5494587
MIMAT0009927	0.3276063	0.004495986	0.42606276	0.9711433	0.989182
MIMAT0009928	0.2156043	-0.02970787	0.43853773	0.7365264	NA
MIMAT0009930	0.8855241	-0.0438364	0.39230356	0.8054428	0.8937589
MIMAT0009931	0.2582641	-0.0580518	0.43562726	0.5626856	NA
MIMAT0009933	4.790286	0.1521204	0.38450866	0.4214465	0.658185
MIMAT0009934	0.09309878	-0.01695439	0.44399767	0.787938	NA
MIMAT0009935	1.548551	-0.4015202	0.41114317	0.03429784	0.1445871
MIMAT0009936	0.1288473	-0.003565247	0.44393699	0.9548808	NA
MIMAT0009939	0.9414047	-0.07944475	0.40357945	0.6318884	0.7990419
MIMAT0031123	0.1760801	-0.03372877	0.44325921	0.6199758	NA
MIMAT0034278	1.21784	-0.1287829	0.37924345	0.5029876	0.7105077
MIMAT0034279	0.03672999	-0.005684933	0.4439419	0.9281122	NA
MIMAT0034280	0.569925	-0.05841809	0.42429644	0.6529989	0.8084081
MIMAT0034281	0.6863168	-0.3020759	0.4163818	0.07771116	0.231305
MIMAT0034282	0.09184241	-0.01889349	0.44401349	0.7643703	NA
MIMAT0034284	0.2204721	-0.04498785	0.44107202	0.5699084	NA
MIMAT0034285	0.4410991	0.07981151	0.42445987	0.5422329	0.7375533
MIMAT0034286	0.2784346	-0.01772682	0.43957418	0.8324113	NA
MIMAT0034288	0.1645739	0.004868184	0.44327967	0.9417131	NA
MIMAT0034289	0.1867442	0.007644222	0.44289298	0.9112938	NA
MIMAT0034290	0.09282554	-0.003693459	0.44393751	0.9532587	NA
MIMAT0034293	0.09078642	-0.001691666	0.4439349	0.9785823	NA
MIMAT0034294	0.2818291	-0.03609218	0.43734113	0.6979332	NA
MIMAT0034295	0.059609	-0.003693459	0.44393751	0.9532587	NA
MIMAT0034296	0.06225042	-0.01757856	0.44400352	0.7803114	NA
MIMAT0034298	0.106012	-0.01370132	0.44397593	0.827894	NA
MIMAT0034300	0.03825139	-0.005684933	0.4439419	0.9281122	NA
MIMAT0034308	0.1834062	0.002312731	0.44393517	0.970723	NA
MIMAT0034310	0.2470962	0.01368192	0.43282212	0.8979634	NA
MIMAT0034314	0.1282529	-0.01522473	0.44232841	0.8316215	NA
MIMAT0034318	0.0447283	-0.005684933	0.4439419	0.9281122	NA
MIMAT0034319	0.1086219	-0.01978826	0.44402112	0.7535729	NA
MIMAT0034321	11.36842	-0.121345	0.30633747	0.5709034	0.7601681
MIMAT0034326	0.3219895	-0.02732416	0.43446464	0.7889959	0.8793654
MIMAT0034329	0.1642674	-0.0250901	0.44333406	0.7081601	NA
MIMAT0034330	0.186775	-0.001882009	0.44281874	0.9782169	NA
MIMAT0034332	0.2009281	0.0005801069	0.44264684	0.9933673	NA
MIMAT0034333	0.09434621	-0.007568998	0.44394744	0.9043898	NA
MIMAT0034336	0.4702744	-0.0218448	0.41931292	0.8749964	0.9420174
MIMAT0034337	112.0659	-0.082593	0.13363511	0.5132975	0.7105077
MIMAT0034341	0.1867442	0.007644222	0.44289298	0.9112938	NA
MIMAT0034344	0.05663898	-0.005684933	0.4439419	0.9281122	NA
MIMAT0034346	0.2008103	-0.03601296	0.43887346	0.6802406	NA
MIMAT0034347	0.09282554	-0.003693459	0.44393751	0.9532587	NA
MIMAT0034348	0.07656421	-0.01757856	0.44400352	0.7803114	NA
MIMAT0034353	0.3273697	-0.0176434	0.42340201	0.8923878	0.9486307
MIMAT0034354	32.64345	-0.248468	0.25268048	0.2197635	0.4633347
MIMAT0034355	0.336279	-0.03375397	0.4349048	0.7382209	0.8526635
MIMAT0034357	14.0184	0.7600275	0.26958568	0.0003595875	0.006998127
MIMAT0034358	11.9986	-0.2639484	0.23499324	0.1752691	0.4144214
MIMAT0034362	11.13197	-0.325735	0.28047524	0.1246287	0.3290281
MIMAT0034366	0.07007431	-0.001691666	0.4439349	0.9785823	NA
MIMAT0034369	0.2513971	0.0002796521	0.43614202	0.9976786	NA
MIMAT0034370	0.2298281	0.004181951	0.43862225	0.9617639	NA
MIMAT0034371	0.2397163	0.01676848	0.43588333	0.8630287	NA
MIMAT0034373	0.06188369	-0.005684933	0.4439419	0.9281122	NA
MIMAT0034374	0.5095306	0.0431791	0.42691637	0.7260264	0.8464732
MIMAT0034375	0.09366722	0.000310396	0.44393411	0.9960698	NA
MIMAT0034377	0.08623078	-0.003693459	0.44393751	0.9532587	NA
MIMAT0034382	0.3400148	-0.00596313	0.42615634	0.9616678	0.9890323
MIMAT0034383	1.674263	-0.4134001	0.43398654	0.01427211	0.07953193
MIMAT0034384	1.995664	-0.2429161	0.41002614	0.1558422	0.3791162
MIMAT0034386	1.293156	-0.2948294	0.38128057	0.141551	0.358124
MIMAT0034387	2.16475	-0.250913	0.37781009	0.2089104	0.447918
MIMAT0034388	0.3953526	-0.1031221	0.42773281	0.4122176	0.651819
MIMAT0034389	0.08719736	-0.01757856	0.44400352	0.7803114	NA
MIMAT0034390	0.08719736	-0.01757856	0.44400352	0.7803114	NA
MIMAT0034393	0.128338	-0.01209147	0.43843129	0.8907966	NA
MIMAT0034395	0.1039857	-1.500028e-05	0.44393412	0.9998101	NA
MIMAT0034396	83.15604	-0.4907846	0.16577481	0.001191621	0.0167489
MIMAT0034397	5.522326	-0.3888682	0.28658398	0.06966611	0.2175991
MIMAT0034398	0.03513464	-0.0194885	0.44401906	0.7571735	NA
MIMAT0034400	1.156003	0.07072298	0.39071118	0.6947978	0.8226169
MIMAT0034401	0.1214811	0.004349658	0.44393803	0.94497	NA
MIMAT0034402	0.3293163	-0.04093003	0.4432516	0.5512415	0.7418303
MIMAT0034403	0.3047323	-0.03030551	0.44165432	0.6881103	NA
MIMAT0034404	0.07396569	-0.01372022	0.44397534	0.8276709	NA
MIMAT0034405	0.06944005	-0.003693459	0.44393751	0.9532587	NA
MIMAT0034406	0.1841122	-0.01148952	0.44304056	0.8657271	NA
MIMAT0034410	0.06542012	-0.005684933	0.4439419	0.9281122	NA
MIMAT0034411	0.04903423	-0.003693459	0.44393751	0.9532587	NA
MIMAT0034412	0.06132015	-0.001691666	0.4439349	0.9785823	NA
MIMAT0034413	3.526568	0.3924545	0.34695318	0.07195245	0.2219996
MIMAT0034414	1.168685	-0.2265761	0.41212387	0.1740829	0.4144214
MIMAT0034415	0.02342309	-0.01673564	0.4439972	0.7905876	NA
MIMAT0034420	1.104003	-0.09321903	0.44155313	0.2640753	0.5023387
MIMAT0034421	0.0944339	-0.02172767	0.44403944	0.7303272	NA
MIMAT0034422	1.734096	0.08695968	0.37021483	0.6591948	0.8095936
MIMAT0034423	0.2222215	-0.06115218	0.43725938	0.520554	NA
MIMAT0034424	0.392389	-0.1005357	0.42637754	0.4341512	0.6665927
MIMAT0034427	0.06319093	-0.01992169	0.44402229	0.7519667	NA
MIMAT0034428	2.1519	0.04832547	0.39450031	0.7832948	0.8768743
MIMAT0034429	0.07507303	-0.01096868	0.44396071	0.8618265	NA
MIMAT0034430	0.1879897	-0.03417235	0.4412848	0.6588609	NA
MIMAT0034431	0.3866603	-0.04483826	0.43966852	0.5975375	0.7752666
MIMAT0034433	0.2725524	-0.07006737	0.44089984	0.3965153	NA
MIMAT0034434	300.7056	-0.8902729	0.25294135	1.67887e-05	0.0006870522
MIMAT0034435	0.1428181	-0.03084479	0.4441427	0.6248449	NA
MIMAT0034436	1.713446	0.06182455	0.40861563	0.6958103	0.8226169
